id,value
id_0,5.174960398984736
id_1,18.30621425352788
id_2,20.491218094180528
id_3,11.523942869805332
id_4,26.616056752306132
id_5,20.531348081761223
id_6,21.906551018797376
id_7,31.736468747068834
id_8,13.391674055111736
id_9,64.45646650291954
id_10,20.264568836159437
id_11,15.35857607736122
id_12,68.58947276926726
id_13,48.428113747457196
id_14,18.702333824193218
id_15,10.188595737466716
id_16,30.74036285982044
id_17,71.13221776355108
id_18,-4.130517391262444
id_19,18.235694016428695
id_20,38.578922275007756
id_21,71.31151972531332
id_22,7.410348162634086
id_23,18.717955330321395
id_24,14.93725026008458
id_25,36.719736694705325
id_26,17.961697005662714
id_27,75.78946287210539
id_28,12.309310248614484
id_29,56.2953517396496
id_30,25.113160865661484
id_31,4.610248674094053
id_32,2.4837705545150315
id_33,24.75942226132128
id_34,30.480280465591196
id_35,38.46393074642666
id_36,44.20231060933005
id_37,30.08683601986601
id_38,40.47367501574008
id_39,29.22647990231738
id_40,5.606456054343949
id_41,38.666016078789596
id_42,34.61021343187721
id_43,48.38969750738482
id_44,14.757247666944172
id_45,34.46682011087208
id_46,27.48310687418436
id_47,12.000879378154043
id_48,21.378036151603794
id_49,28.54440309166328
id_50,20.16551381841159
id_51,10.796678149746501
id_52,22.171035755750125
id_53,53.446263109352266
id_54,12.21958112161002
id_55,43.30096845517155
id_56,32.1823351032854
id_57,22.5672175145708
id_58,56.73951416554704
id_59,20.745052945295473
id_60,15.028854557473265
id_61,39.8553015903851
id_62,12.975340680728284
id_63,51.74165959283004
id_64,18.783369632539877
id_65,12.348752842777712
id_66,15.633623653541925
id_67,-0.05887147068500154
id_68,41.50801107307596
id_69,31.548747530656026
id_70,18.604251157547075
id_71,37.4768197248807
id_72,56.52039065762305
id_73,6.58787719352195
id_74,12.229339737435051
id_75,5.203696404134638
id_76,47.92737510380059
id_77,13.020705685594661
id_78,17.110301693903597
id_79,20.603234531002048
id_80,21.284481560784613
id_81,38.69293529051181
id_82,30.020716675725847
id_83,88.76740666723548
id_84,35.984700239668264
id_85,26.756913553477187
id_86,23.963516843564403
id_87,32.747242828083074
id_88,22.18904375531994
id_89,20.992158853626545
id_90,29.555994316645446
id_91,40.99216886651781
id_92,8.625117809911558
id_93,32.3214718088779
id_94,46.59804436536759
id_95,22.88407082672354
id_96,31.518129728251655
id_97,11.19823347976612
id_98,28.527436642529608
id_99,0.2911506800896443
id_100,17.96696107953969
id_101,27.124163929470143
id_102,11.398232780652847
id_103,16.426426865673527
id_104,23.42526104692219
id_105,40.6160826705684
id_106,25.8641250265604
id_107,5.422736951672389
id_108,10.794921122256104
id_109,72.86213692992126
id_110,48.022837059481375
id_111,15.746808276902996
id_112,24.67041061417795
id_113,12.827793326536716
id_114,10.158057570240526
id_115,27.269223342020982
id_116,29.208738577932458
id_117,8.835339619930767
id_118,20.05108813712978
id_119,20.212333743764248
id_120,79.9060092987056
id_121,18.061614288263595
id_122,30.542809341304345
id_123,25.98079237772804
id_124,5.212577268164767
id_125,30.355697305856214
id_126,7.768322888914637
id_127,15.328268255393336
id_128,22.66636571769797
id_129,62.742054211090085
id_130,18.950780367987996
id_131,19.076355630838545
id_132,61.37157409163711
id_133,15.884562052629718
id_134,13.409418077705558
id_135,0.8487724836112842
id_136,7.834996717304126
id_137,57.01282901179679
id_138,25.607996751813804
id_139,4.9617047292420855
id_140,36.414879039062775
id_141,28.790006721975917
id_142,49.19412096197634
id_143,40.3068698557345
id_144,13.316180593982658
id_145,27.661011875229164
id_146,17.158027524366766
id_147,49.68726256929682
id_148,23.03027229160478
id_149,39.240936524842766
id_150,13.19675388941254
id_151,5.948893701039413
id_152,25.82160897630425
id_153,8.258634214291634
id_154,19.146320517225597
id_155,43.18248652651674
id_156,6.717843578093033
id_157,33.869615246810646
id_158,15.3699378469818
id_159,16.939044973551923
id_160,37.88533679463485
id_161,19.202484541054467
id_162,9.059504715654725
id_163,10.283399610648509
id_164,48.672447125698284
id_165,30.58771621323082
id_166,2.4774098975321657
id_167,12.811603937805932
id_168,70.32478980976464
id_169,14.840967694067068
id_170,68.8655875667886
id_171,42.74199244486634
id_172,24.000261542920168
id_173,23.420724860321446
id_174,61.672124435682356
id_175,25.494202845059192
id_176,19.004809786869096
id_177,34.88668288189683
id_178,9.40231339837975
id_179,29.520011314408027
id_180,14.573965885700483
id_181,9.125563143203598
id_182,52.81258399813187
id_183,45.03953799438962
id_184,17.452434679183295
id_185,38.49393527971433
id_186,27.03891909264382
id_187,65.58170967424583
id_188,7.0373063807695795
id_189,52.71447713411572
id_190,38.20645933704977
id_191,21.16980105955784
id_192,30.247556879488393
id_193,2.714422989716304
id_194,19.93293258764082
id_195,-3.413332337603944
id_196,32.44599940281316
id_197,10.582973029979941
id_198,21.77522570725845
id_199,62.465292065677886
id_200,24.13294368731649
id_201,26.201239647400964
id_202,63.74447723440287
id_203,2.83429777412905
id_204,14.379246986978838
id_205,9.369850731753894
id_206,9.881166613595411
id_207,3.4949453589721426
id_208,122.6080493792178
id_209,21.083513014480573
id_210,17.53222059945511
id_211,20.183098344597003
id_212,36.39313221228185
id_213,34.93515120529068
id_214,18.83031266145864
id_215,38.34455552272332
id_216,77.91663413807038
id_217,1.7953235508882215
id_218,13.445827939135775
id_219,36.131155590412135
id_220,15.150403498166307
id_221,12.941848334417926
id_222,113.12524093786391
id_223,15.224604677934382
id_224,14.824025968612034
id_225,59.267353688540446
id_226,10.583695290718481
id_227,20.993062563532174
id_228,9.789365880830381
id_229,4.77118000870597
id_230,47.92780690481291
id_231,12.39943839475104
id_232,48.14647656264414
id_233,40.46638039656415
id_234,16.94059027033294
id_235,41.26654448941875
id_236,69.02789203372899
id_237,40.34624924412241
id_238,14.313743982871129
id_239,15.770726634219828
